doc,Abstract
1,"Global response to COVID-19 pandemic has inadvertently undermined the achievement of existing public health priorities and laregely overlooked local context. Recent evidence suggests that this will cause additional maternal and childhood mortality and morbidity especially in low- and middle-income countries (LMICs). Here we have explored the contextual factors influencing maternal, neonatal and children health (MNCH) care in Bangladesh, Nigeria and South Africa amidst the pandemic. Our findings suggest that between March and May 2020, there was a reduction in utilisation of basic essential MNCH services such as antenatal care, family planning and immunization due to: a) the implementation of lockdown which triggered fear of contracting the COVID-19 and deterred people from accessing basic MNCH care, and b) a shift of focus towards pandemic, causing the detriment to other health services, and c) resource constraints. Taken together these issues have resulted in compromised provision of basic general healthcare. Given the likelihood of recurrent waves of the pandemic globally, COVID-19 mitigation plans therefore should be integrated with standard care provision to enhance system resilience to cope with all health needs. This commentary suggests a four-point contextualised mitigation plan to safeguard MNCH care during the pandemic using the observed countries as exemplars for LMIC health system adaptations to maintain the trajectory of progress regarding sustainable development goals (SDGs). © 2021, The Author(s)."
2,"Coronavirus Disease 2019 (COVID-19) and the mitigation measures taken to limit its spread have significantly disrupted other essential health services in Africa. This disruption has threatened the control of major high-burden diseases such as HIV, tuberculosis (TB), and malaria as well as the prevention of maternal and child mortality. • While the 2020 WHO global reports for HIV, TB, and malaria show progress in control of these diseases in African countries, there are still significant gaps in meeting the global targets. Similarly, modeling studies predict that most African countries are unlikely to meet the Sustainable Development Goals (SDGs) 2030 targets for reductions in maternal and child mortality under the current rate of progress. • Prediction models and emerging empirical data indicate that the implemented mitigation measures against COVID-19 such as travel restrictions and lockdowns as well as the repurposing of health resources and suspension of prevention programs such as immunizations will lead to an increase in new infections and deaths, significantly reversing the gains achieved in the control of these health challenges. • A more comprehensive COVID-19 response that minimizes indirect deaths is therefore warranted in Africa. These include implementing WHO recommendations that limit contact with the clinic where possible, such as multimonths drug dispensing, self-testing, virtual platforms for case management, community- and home-based prevention, and care services such as home distribution of test kits, vaccines, treatment, and mosquito nets. • This is in addition to ensuring effective implementation of COVID-19 infection prevention and control measures in healthcare facilities including providing healthcare workers with personal protective equipment and prioritizing them for COVID-19 immunization. • There is also a need to incorporate aggressive recovery plans to reverse the lost gains in disease control efforts and put African countries back on course toward achieving the global targets. This includes leveraging on the wider COVID-19 response enablements such as the increased political will and global solidarity funding efforts to support a more comprehensive response that accounts for the indirect public health effects of the pandemic. © 2021 Inzaule et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited."
3,"Purpose: Nursing homes and long-term care facilities have experienced severe outbreaks and elevated mortality rates of COVID-19. When available, vaccination at-scale has helped drive a rapid reduction in severe cases. However, vaccination coverage remains incomplete among residents and staff, such that additional mitigation and prevention strategies are needed to reduce the ongoing risk of transmission. One such strategy is that of “shield immunity”, in which immune individuals modulate their contact rates and shield uninfected individuals from potentially risky interactions. Methods: Here, we adapt shield immunity principles to a network context, by using computational models to evaluate how restructured interactions between staff and residents affect SARS-CoV-2 epidemic dynamics. Results: First, we identify a mitigation rewiring strategy that reassigns immune healthcare workers to infected residents, significantly reducing outbreak sizes given weekly testing and rewiring (48% reduction in the outbreak size). Second, we identify a preventative prewiring strategy in which susceptible healthcare workers are assigned to immunized residents. This preventative strategy reduces the risk and size of an outbreak via the inadvertent introduction of an infectious healthcare worker in a partially immunized population (44% reduction in the epidemic size). These mitigation levels derived from network-based interventions are similar to those derived from isolating infectious healthcare workers. Conclusions: This modeling-based assessment of shield immunity provides further support for leveraging infection and immune status in network-based interventions to control and prevent the spread of COVID-19. © 2022 The Author(s)"
4,"Mutations of the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) are always going on. The pathogenic characteristics of a virus are influenced by mutations in the viral genome. Therefore, the recently identified Omicron BF.7 subvariant might harm humans. Here we aimed to evaluate the potential risks of this newly detected variant and identify possible mitigation strategies. The frequent mutation associated with SARS-CoV-2 makes it more concerning compared to other viruses. The Omicron variant of SARS-CoV-2 has unique changes in the structural amino acid. Thus, Omicron subvariants are different from other coronavirus variants in terms of viral spread, disease severity, vaccine neutralization capacity, and immunity evade. Moreover, Omicron subvariant BF.7 is an offspring of BA.4 and BA.5. Similar S glycoprotein sequences are present among BF.7, BA.4, and BA.5. There is a change in the R346T gene in the receptor binding site of Omicron BF.7 than other Omicron subvariants. This BF.7 subvariant has created a limitation in current monoclonal antibody therapy. Omicron has mutated since it emerged, and the subvariants are improving in terms of transmission as well as antibody evasion. Therefore, the healthcare authorities should pay attention to the BF.7 subvariant of Omicron. The recent upsurge may create havoc all of a sudden. Scientists and researchers across the world should monitor the nature and mutations of SARS-CoV-2 variants. Also, they should find ways to fight the current circulatory variants and any future mutations. © 2023 The Authors. Health Science Reports published by Wiley Periodicals LLC."
5,"Introduction This study aimed to determine whether the COVID-19 pandemic had an impact on essential primary healthcare services at public primary healthcare facilities. Methods The number of weekly consultations for antenatal care (ANC), outpatient (OPD), immunisations (EPI), family planning (FP) and HIV services, between January 2018 and December 2020, were collected from 25 facilities in Masaka district, Uganda, 21 in Goma, and 29 in Kambia district, Sierra Leone. Negative binomial regression models accounting for clustering and season were used to analyse changes in activity levels between 2018, 2019 and 2020. Results In Goma, we found no change in OPD, EPI or ANC consultations, FP was 17% lower in March-July 2020 compared to 2019, but this recovered by December 2020. New diagnoses of HIV were 34% lower throughout 2020 compared to 2019. In Sierra Leone, compared to the same periods in 2019, facilities had 18-29% fewer OPD consultations throughout 2020, and 27% fewer DTP3 doses in March-July 2020. There was no evidence of differences in other services. In Uganda there were 20-35% fewer under-5 OPD consultations, 21-66% fewer MCV1 doses, and 48-51% fewer new diagnoses of HIV throughout 2020, compared to 2019. There was no difference in the number of HPV doses delivered. Conclusions The level of disruption varied across the different settings and qualitatively appeared to correlate with the strength of lockdown measures and reported attitudes towards the risk posed by COVID-19. Mitigation strategies such as health communications campaigns and outreach services may be important to limit the impact of lockdowns on primary healthcare services. © 2023 Kasonia et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited."
6,"Managing healthcare demand and capacity is especially difficult in the context of the COVID-19 pandemic, where limited intensive care resources can be overwhelmed by a large number of cases requiring admission in a short space of time. If patients are unable to access this specialist resource, then death is a likely outcome. In appreciating these 'capacity-dependent' deaths, this paper reports on the clinically-led development of a stochastic discrete event simulation model designed to capture the key dynamics of the intensive care admissions process for COVID-19 patients. With application to a large public hospital in England during an early stage of the pandemic, the purpose of this study was to estimate the extent to which such capacity-dependent deaths can be mitigated through demand-side initiatives involving non-pharmaceutical interventions and supply-side measures to increase surge capacity. Based on information available at the time, results suggest that total capacity-dependent deaths can be reduced by 75% through a combination of increasing capacity from 45 to 100 beds, reducing length of stay by 25%, and flattening the peak demand to 26 admissions per day. Accounting for the additional 'capacity-independent' deaths, which occur even when appropriate care is available within the intensive care setting, yields an aggregate reduction in total deaths of 30%. The modelling tool, which is freely available and open source, has since been used to support COVID-19 response planning at a number of healthcare systems within the UK National Health Service."
7,"The world is urgently looking for ways to flatten the coronavirus disease 2019 (COVID-19) curve, and many governments have resorted to implementing strict lockdowns, as researchers show the effectiveness of China's approaches in containing the virus. However, this paper argues that the draconian lockdowns instituted in Wuhan, Hubei, China, may have actually contributed to intensifying patient surges and incapacitating local health systems. Medical aids were rushed to Hubei and new hospitals were rapidly built, however, the healthcare system was still unable to match the staggering increase of patients in the early stages of the lockdowns. The paper proposes using patient evacuation to enhance sustainable COVID-19 mitigation during lockdowns. It demonstrates that patients in Hubei could have been transported to other Chinese provinces where hospitals were under-utilized. This could have theoretically saved thousands of lives by reducing inequities between Hubei and the rest of China in healthcare capacity for treating COVID-19 patients."
8,"COVID-19 pandemic becomes one of the leading challenges across the world. To fight against the virus, compulsory maintenance of nutritional status is very important. Age, sex, health status, medications and lifestyles are the important factors affecting individuals regarding their nutritional status. Due to the COVID-19 pandemic, the nutritional status of individuals is destabilized. To survive the current situation, a sustainable nutritional dietary should be maintained for strengthening the immune system. One of the most important ways to maintain the immune system is to supplement enough vitamin C. A spectrum of viruses that belongs to the coronavirus in humans usually causes the common cold, which is recently severe acute respiratory syndrome (SARS). SARS considered a major threat to public health, which is an emerging infectious disease. According to WHO, COVID-19 caused by the coronavirus, in which most people probably have low immunity. Eighty-five per cent of the immune system has been made by plant-based food supplements, which increase beneficial intestinal bacteria. Minerals like zinc, magnesium, micronutrients, herbal foods and vitamins C, D and E and plenty of water promote health, which is highly helpful to overcome the infection. Many studies revealed that COVID-19 infection prevented by the powerful antioxidant glutathione and bioflavonoid quercetin; to control COVID-19, plant-based foods playing a very important role to increase the immunity of people. Leafy greens and vegetables play a very important role in food and nutritional safety. Green leafy vegetables are an excellent source of vitamins, phenolic compounds and minerals. Calcium and iron are rich in leafy vegetables than that of staple food grains. Folic acid is also present in leafy vegetables. Different leafy greens, especially Moringa oleifera leaves, contain a high amount of folic acid compared to other leafy and non-leafy vegetable plants. This review paper aims to explore the nutritional and antinutritional factors of some important leafy vegetables. The content of nutritional and antinutritional factors varies among the genera and species of most of the edible leafy vegetables. Antinutritional factors are considered the important compound in the plant, in which they determine the absorption capacity of nutrients in human beings. Important dietary factors such as phytates, oxalates, nitrates, glycosides and cyanogenic are fruitful in many health-related problems. This article mainly explores the significance of nutrition and the use of leafy vegetables to boost up the immunity system in human beings and provide reliable dietary strategies about food safety and nutrition to survive COVID-19 pandemic around the world, especially in India."
9,"Background: While the COVID-19 outbreak in China now appears suppressed, Europe and the USA have become the epicentres, both reporting many more deaths than China. Responding to the pandemic, Sweden has taken a different approach aiming to mitigate, not suppress, community transmission, by using physical distancing without lockdowns. Here we contrast the consequences of different responses to COVID-19 within Sweden, the resulting demand for care, intensive care, the death tolls and the associated direct healthcare related costs. Methods: We used an age-stratified health-care demand extended SEIR (susceptible, exposed, infectious, recovered) compartmental model for all municipalities in Sweden, and a radiation model for describing inter-municipality mobility. The model was calibrated against data from municipalities in the Stockholm healthcare region. Results: Our scenario with moderate to strong physical distancing describes well the observed health demand and deaths in Sweden up to the end of May 2020. In this scenario, the intensive care unit (ICU) demand reaches the pre-pandemic maximum capacity just above 500 beds. In the counterfactual scenario, the ICU demand is estimated to reach -20 times higher than the pre-pandemic ICU capacity. The different scenarios show quite different death tolls up to 1 September, ranging from 5000 to 41 000, excluding deaths potentially caused by ICU shortage. Additionally, our statistical analysis of all causes excess mortality indicates that the number of deaths attributable to COVID-19 could be increased by 40% (95% confidence interval: 0.24, 0.57). Conclusion: The results of this study highlight the impact of different combinations of non-pharmaceutical interventions, especially moderate physical distancing in combination with more effective isolation of infectious individuals, on reducing deaths, health demands and lowering healthcare costs. In less effective mitigation scenarios, the demand on ICU beds would rapidly exceed capacity, showing the tight interconnection between the healthcare demand and physical distancing in the society. These findings have relevance for Swedish policy and response to the COVID-19 pandemic and illustrate the importance of maintaining the level of physical distancing for a longer period beyond the study period to suppress or mitigate the impacts from the pandemic."
10,"Community mitigation strategies to combat COVID-19, ranging from healthy hygiene to shelter-in-place orders, exact substantial socioeconomic costs. Judicious implementation and relaxation of restrictions amplify their public health benefits while reducing costs. We derive optimal strategies for toggling between mitigation stages using daily COVID-19 hospital admissions. With public compliance, the policy triggers ensure adequate intensive care unit capacity with high probability while minimizing the duration of strict mitigation measures. In comparison, we show that other sensible COVID-19 staging policies, including France's ICU-based thresholds and a widely adopted indicator for reopening schools and businesses, require overly restrictive measures or trigger strict stages too late to avert catastrophic surges. As proof-of-concept, we describe the optimization and maintenance of the staged alert system that has guided COVID-19 policy in a large US city (Austin, Texas) since May 2020. As cities worldwide face future pandemic waves, our findings provide a robust strategy for tracking COVID-19 hospital admissions as an early indicator of hospital surges and enacting staged measures to ensure integrity of the health system, safety of the health workforce, and public confidence. Selection of COVID-19 mitigation measures requires balancing health outcomes with economic impacts. Here, the authors derive a system to set triggers for increasing mitigation measures to preserve healthcare capacity, and describe how it has been used to support public health decision making in Austin, Texas."
