Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Wood, RM; McWilliams, CJ; Thomas, MJ; Bourdeaux, CP; Vasilakis, C",,,,"Wood, Richard M.; McWilliams, Christopher J.; Thomas, Matthew J.; Bourdeaux, Christopher P.; Vasilakis, Christos",,,COVID-19 scenario modelling for the mitigation of capacity-dependent deaths in intensive care,HEALTH CARE MANAGEMENT SCIENCE,,,,,,,,,,,,"Managing healthcare demand and capacity is especially difficult in the context of the COVID-19 pandemic, where limited intensive care resources can be overwhelmed by a large number of cases requiring admission in a short space of time. If patients are unable to access this specialist resource, then death is a likely outcome. In appreciating these 'capacity-dependent' deaths, this paper reports on the clinically-led development of a stochastic discrete event simulation model designed to capture the key dynamics of the intensive care admissions process for COVID-19 patients. With application to a large public hospital in England during an early stage of the pandemic, the purpose of this study was to estimate the extent to which such capacity-dependent deaths can be mitigated through demand-side initiatives involving non-pharmaceutical interventions and supply-side measures to increase surge capacity. Based on information available at the time, results suggest that total capacity-dependent deaths can be reduced by 75% through a combination of increasing capacity from 45 to 100 beds, reducing length of stay by 25%, and flattening the peak demand to 26 admissions per day. Accounting for the additional 'capacity-independent' deaths, which occur even when appropriate care is available within the intensive care setting, yields an aggregate reduction in total deaths of 30%. The modelling tool, which is freely available and open source, has since been used to support COVID-19 response planning at a number of healthcare systems within the UK National Health Service.",,,,,"Wood, Richard M/F-2952-2013","Wood, Richard M/0000-0002-3476-395X; Bourdeaux, Christopher/0000-0001-6620-6536; Vasilakis, Christos/0000-0002-0391-0910; McWilliams, Chris/0000-0003-3816-5217",,,,,,,,,,,,,1386-9620,1572-9389,,,,SEP,2020,23,3,,,,,315,324,,10.1007/s10729-020-09511-7,http://dx.doi.org/10.1007/s10729-020-09511-7,,JUL 2020,,,,,,32642878,,,,,WOS:000546507000001,View Full Record in Web of Science
J,"Liu, L",,,,"Liu, Lee",,,"Sustainable COVID-19 Mitigation: Wuhan Lockdowns, Health Inequities, and Patient Evacuation",INTERNATIONAL JOURNAL OF HEALTH POLICY AND MANAGEMENT,,,,,,,,,,,,"The world is urgently looking for ways to flatten the coronavirus disease 2019 (COVID-19) curve, and many governments have resorted to implementing strict lockdowns, as researchers show the effectiveness of China's approaches in containing the virus. However, this paper argues that the draconian lockdowns instituted in Wuhan, Hubei, China, may have actually contributed to intensifying patient surges and incapacitating local health systems. Medical aids were rushed to Hubei and new hospitals were rapidly built, however, the healthcare system was still unable to match the staggering increase of patients in the early stages of the lockdowns. The paper proposes using patient evacuation to enhance sustainable COVID-19 mitigation during lockdowns. It demonstrates that patients in Hubei could have been transported to other Chinese provinces where hospitals were under-utilized. This could have theoretically saved thousands of lives by reducing inequities between Hubei and the rest of China in healthcare capacity for treating COVID-19 patients.",,,,,,,,,,,,,,,,,,,,2322-5939,,,,OCT,2020,9,10,,,,,415,418,,10.34172/ijhpm.2020.63,http://dx.doi.org/10.34172/ijhpm.2020.63,,,,,,,,32610729,,,,,WOS:000573852000002,View Full Record in Web of Science
J,"Abdussalam, AK; Prajith, PK; Jyothi, PV; Prasanth, KP; Anu, AP; Azeez, K; Narayanan, MKR",,,,"Abdussalam, A. K.; Prajith, P. K.; Jyothi, P. V.; Prasanth, K. P.; Anu, A. P.; Azeez, K.; Narayanan, M. K. Ratheesh",,,Healthcare management through mitigation of COVID-19 pandemic with leafy vegetables,ANNALS OF PHYTOMEDICINE-AN INTERNATIONAL JOURNAL,,,,,,,,,,,,"COVID-19 pandemic becomes one of the leading challenges across the world. To fight against the virus, compulsory maintenance of nutritional status is very important. Age, sex, health status, medications and lifestyles are the important factors affecting individuals regarding their nutritional status. Due to the COVID-19 pandemic, the nutritional status of individuals is destabilized. To survive the current situation, a sustainable nutritional dietary should be maintained for strengthening the immune system. One of the most important ways to maintain the immune system is to supplement enough vitamin C. A spectrum of viruses that belongs to the coronavirus in humans usually causes the common cold, which is recently severe acute respiratory syndrome (SARS). SARS considered a major threat to public health, which is an emerging infectious disease. According to WHO, COVID-19 caused by the coronavirus, in which most people probably have low immunity. Eighty-five per cent of the immune system has been made by plant-based food supplements, which increase beneficial intestinal bacteria. Minerals like zinc, magnesium, micronutrients, herbal foods and vitamins C, D and E and plenty of water promote health, which is highly helpful to overcome the infection. Many studies revealed that COVID-19 infection prevented by the powerful antioxidant glutathione and bioflavonoid quercetin; to control COVID-19, plant-based foods playing a very important role to increase the immunity of people. Leafy greens and vegetables play a very important role in food and nutritional safety. Green leafy vegetables are an excellent source of vitamins, phenolic compounds and minerals. Calcium and iron are rich in leafy vegetables than that of staple food grains. Folic acid is also present in leafy vegetables. Different leafy greens, especially Moringa oleifera leaves, contain a high amount of folic acid compared to other leafy and non-leafy vegetable plants. This review paper aims to explore the nutritional and antinutritional factors of some important leafy vegetables. The content of nutritional and antinutritional factors varies among the genera and species of most of the edible leafy vegetables. Antinutritional factors are considered the important compound in the plant, in which they determine the absorption capacity of nutrients in human beings. Important dietary factors such as phytates, oxalates, nitrates, glycosides and cyanogenic are fruitful in many health-related problems. This article mainly explores the significance of nutrition and the use of leafy vegetables to boost up the immunity system in human beings and provide reliable dietary strategies about food safety and nutrition to survive COVID-19 pandemic around the world, especially in India.",,,,,,,,,,,,,,,,,,,2393-9885,2278-9839,,,,JAN-JUN,2021,10,1,,,,,S257,S266,,10.21276/ap.covid19.2021.10.1.24,http://dx.doi.org/10.21276/ap.covid19.2021.10.1.24,,,,,,,,,,,,,WOS:000688453000023,View Full Record in Web of Science
J,"Sjodin, H; Johansson, AF; Brannstrom, A; Farooq, Z; Kriit, HK; Wilder-Smith, A; Astrom, C; Thunberg, J; Soderquist, M; Rocklov, J",,,,"Sjodin, Henrik; Johansson, Anders F.; Brannstrom, Ake; Farooq, Zia; Kriit, Hedi Katre; Wilder-Smith, Annelies; Astrom, Christofer; Thunberg, Johan; Soderquist, Marten; Rocklov, Joacim",,,COVID-19 healthcare demand and mortality in Sweden in response to non-pharmaceutical mitigation and suppression scenarios,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,,,,,,,,,,,,"Background: While the COVID-19 outbreak in China now appears suppressed, Europe and the USA have become the epicentres, both reporting many more deaths than China. Responding to the pandemic, Sweden has taken a different approach aiming to mitigate, not suppress, community transmission, by using physical distancing without lockdowns. Here we contrast the consequences of different responses to COVID-19 within Sweden, the resulting demand for care, intensive care, the death tolls and the associated direct healthcare related costs. Methods: We used an age-stratified health-care demand extended SEIR (susceptible, exposed, infectious, recovered) compartmental model for all municipalities in Sweden, and a radiation model for describing inter-municipality mobility. The model was calibrated against data from municipalities in the Stockholm healthcare region. Results: Our scenario with moderate to strong physical distancing describes well the observed health demand and deaths in Sweden up to the end of May 2020. In this scenario, the intensive care unit (ICU) demand reaches the pre-pandemic maximum capacity just above 500 beds. In the counterfactual scenario, the ICU demand is estimated to reach -20 times higher than the pre-pandemic ICU capacity. The different scenarios show quite different death tolls up to 1 September, ranging from 5000 to 41 000, excluding deaths potentially caused by ICU shortage. Additionally, our statistical analysis of all causes excess mortality indicates that the number of deaths attributable to COVID-19 could be increased by 40% (95% confidence interval: 0.24, 0.57). Conclusion: The results of this study highlight the impact of different combinations of non-pharmaceutical interventions, especially moderate physical distancing in combination with more effective isolation of infectious individuals, on reducing deaths, health demands and lowering healthcare costs. In less effective mitigation scenarios, the demand on ICU beds would rapidly exceed capacity, showing the tight interconnection between the healthcare demand and physical distancing in the society. These findings have relevance for Swedish policy and response to the COVID-19 pandemic and illustrate the importance of maintaining the level of physical distancing for a longer period beyond the study period to suppress or mitigate the impacts from the pandemic.",,,,,"Johansson, Anders/D-2928-2012; Brännström, Åke/E-7850-2011","Johansson, Anders/0000-0003-0548-5943; Brannstrom, Ake/0000-0001-9862-816X; Kriit, Hedi/0000-0001-7143-5835; Rocklov, Joacim/0000-0003-4030-0449; Sjodin, Henrik/0000-0003-1235-4781",,,,,,,,,,,,,0300-5771,1464-3685,,,,OCT,2020,49,5,,,,,1443,1453,,10.1093/ije/dyaa121,http://dx.doi.org/10.1093/ije/dyaa121,,,,,,,,32954400,,,,,WOS:000606715400010,View Full Record in Web of Science
J,"Yang, HX; Surer, O; Duque, D; Morton, DP; Singh, B; Fox, SJ; Pasco, R; Pierce, K; Rathouz, P; Valencia, V; Du, ZW; Pignone, M; Escott, ME; Adler, SI; Johnston, SC; Meyers, LA",,,,"Yang, Haoxiang; Suerer, Ozge; Duque, Daniel; Morton, David P.; Singh, Bismark; Fox, Spencer J.; Pasco, Remy; Pierce, Kelly; Rathouz, Paul; Valencia, Victoria; Du, Zhanwei; Pignone, Michael; Escott, Mark E.; Adler, Stephen I.; Johnston, S. Claiborne; Meyers, Lauren Ancel",,,Design of COVID-19 staged alert systems to ensure healthcare capacity with minimal closures,NATURE COMMUNICATIONS,,,,,,,,,,,,"Community mitigation strategies to combat COVID-19, ranging from healthy hygiene to shelter-in-place orders, exact substantial socioeconomic costs. Judicious implementation and relaxation of restrictions amplify their public health benefits while reducing costs. We derive optimal strategies for toggling between mitigation stages using daily COVID-19 hospital admissions. With public compliance, the policy triggers ensure adequate intensive care unit capacity with high probability while minimizing the duration of strict mitigation measures. In comparison, we show that other sensible COVID-19 staging policies, including France's ICU-based thresholds and a widely adopted indicator for reopening schools and businesses, require overly restrictive measures or trigger strict stages too late to avert catastrophic surges. As proof-of-concept, we describe the optimization and maintenance of the staged alert system that has guided COVID-19 policy in a large US city (Austin, Texas) since May 2020. As cities worldwide face future pandemic waves, our findings provide a robust strategy for tracking COVID-19 hospital admissions as an early indicator of hospital surges and enacting staged measures to ensure integrity of the health system, safety of the health workforce, and public confidence. Selection of COVID-19 mitigation measures requires balancing health outcomes with economic impacts. Here, the authors derive a system to set triggers for increasing mitigation measures to preserve healthcare capacity, and describe how it has been used to support public health decision making in Austin, Texas.",,,,,"Singh, Bismark/AAK-3461-2021; Surer, Ozge/HLH-3492-2023; Du, Zhanwei/HGF-3197-2022; Singh, Bismark/AAW-8522-2021","Singh, Bismark/0000-0002-6943-657X; Singh, Bismark/0000-0002-6943-657X; Pasco, Remy/0000-0002-9321-6876; Yang, Haoxiang/0000-0001-5291-9834; Morton, David/0000-0001-6001-9078; Surer, Ozge/0000-0003-4854-9759; Valencia, Victoria/0000-0001-5250-5359",,,,,,,,,,,,,,2041-1723,,,,JUN 18,2021,12,1,,,,,,,3767,10.1038/s41467-021-23989-x,http://dx.doi.org/10.1038/s41467-021-23989-x,,,,,,,,34145252,,,,,WOS:000665039300002,View Full Record in Web of Science
J,"Kapitsinis, N",,,,"Kapitsinis, Nikolaos",,,The underlying factors of excess mortality in 2020: a cross-country analysis of pre-pandemic healthcare conditions and strategies to cope with Covid-19,BMC HEALTH SERVICES RESEARCH,,,,,,,,,,,,"Background Government responses to the pandemic varied in terms of timing, duration, and stringency, seeking to protect healthcare systems, whose pre-pandemic state varied significantly. Therefore, the severity of Covid-19 and, thus, excess mortality have been unequal across counties. This paper explores the geography of excess mortality and its underlying factors in 2020, highlighting the effects of health policies pre-pandemic and strategies devised by governments to cope with Covid-19. Methods Excess mortality is estimated for 79 high, medium and low-income countries. The factors of excess mortality are examined employing median quantile regression analysis. Results Health privatization, healthcare underfunding, and late implementation of containment and mitigation strategies were powerful drivers of excess mortality. By contrast, the results suggest a negative association of excess mortality with health expenditure, number of doctors and hospital beds, share of population covered by health insurance and test and trace capacity. Conclusions The evidence highlights the importance of sufficiently funded healthcare systems with universal access and strong primary healthcare in the battle against the pandemic. An early response to Covid-19, including borders' controls and a strong test and trace capacity, could improve epidemiological surveillance and minimize excess mortality, with stringent and lengthy lockdowns not providing a significant benefit.",,,,,"Kapitsinis, Nikos/M-3672-2013","Kapitsinis, Nikos/0000-0002-3285-9894",,,,,,,,,,,,,,1472-6963,,,,NOV 5,2021,21,1,,,,,,,1197,10.1186/s12913-021-07169-7,http://dx.doi.org/10.1186/s12913-021-07169-7,,,,,,,,34736434,,,,,WOS:000714575800001,View Full Record in Web of Science
J,"Sajadi, H; Hartley, K",,,,"Sajadi, Hamid; Hartley, Kris",,,COVID-19 pandemic response in Iran: a dynamic perspective on policy capacity,JOURNAL OF ASIAN PUBLIC POLICY,,,,,,,,,,,,"Iran's policy response to the COVID-19 pandemic illustrates how countries with pre-existing challenges manage acute crises. Already economically weakened by international sanctions, Iran's government was forced to consider short-term tradeoffs between public health and social stability in pandemic response, with imminent unemployment and food insecurity used to justify a policy pivot from mitigation to economic continuity. This article investigates the policy responses of Iran's government during the crucial first months of the pandemic, using data obtained through interviews structured around SWOT analysis (strengths, weaknesses, opportunities, and threats) and interpreted to elicit insights for policy capacity theory and practice. Explanations for Iran's initially ineffective pandemic response are found to include weakness in economic policy, failure to coordinate public health initiatives, priority of treatment over prevention, insufficient public engagement, and inadequate healthcare facilities. Policy recommendations emerging from the study are comprehensive and coordinated pandemic management efforts, community-based and proactive approaches, targeted economic stimulus, and a clear policy vision for crisis resolution. The discussion integrates policy capacity into explanations and recommendations to illustrate the applied value of the concept in crisis settings characterized by uncertainty and rapid onset.",,,,,"Hartley, Kris/GQP-0052-2022","Hartley, Kris/0000-0001-5349-0427",,,,,,,,,,,,,1751-6234,1751-6242,,,,MAY 4,2022,15,2,,,SI,,228,249,,10.1080/17516234.2021.1930682,http://dx.doi.org/10.1080/17516234.2021.1930682,,JUN 2021,,,,,,,,,,,WOS:000657528600001,View Full Record in Web of Science
J,"Spieske, A; Gebhardt, M; Kopyto, M; Birkel, H",,,,"Spieske, Alexander; Gebhardt, Maximilian; Kopyto, Matthias; Birkel, Hendrik",,,Improving resilience of the healthcare supply chain in a pandemic: Evidence from Europe during the COVID-19 crisis,JOURNAL OF PURCHASING AND SUPPLY MANAGEMENT,,,,,,,,,,,,"The severe scarcity of critical medical supplies caused by the COVID-19 pandemic led to considerable pro-curement challenges in the healthcare supply chain (HCSC). As ensuring the availability of such supplies during disruptions is critical, the debate on how to increase supply chain resilience in healthcare has gained new mo-mentum. We present empirical evidence from a multi-tier case study spanning nine European medical supplies manufacturers and hospital groups. Based on the resource dependence theory, we investigated procurement -related strategies to improve medical supplies availability. We conducted semi-structured interviews with 39 procurement and supply chain management experts and derived seven propositions on buffering and bridging approaches for managing evolving resource dependencies and thereby strengthening supply chain resilience in a pandemic. Overall, we confirm the resource dependence theory's applicability for explaining companies' miti-gation measures in a pandemic disruption. We find that bridging measures within the healthcare supply base, such as offering procurement support for suppliers or leveraging long-term buyer-supplier relationships, are more effective for securing medical supplies than buffering measures. Complementing bridging with buffering, such as extended upstream procurement or resource sharing among hospitals, can lead to superior risk mitigation as capacities of the present supplier base may not suffice. Furthermore, we extend the resource dependence theory by showing that the severity of disruptions caused by a pandemic triggers new forms of buffering external to the HCSC. Both traditional and new buffering measures establish novel flows of medical supplies in the HCSC that can enable higher supply security in a pandemic.",,,,,,"Birkel, Hendrik/0000-0002-9216-2116",,,,,,,,,,,,,1478-4092,1873-6505,,,,DEC,2022,28,5,,,,,,,100748,10.1016/j.pursup.2022.100748,http://dx.doi.org/10.1016/j.pursup.2022.100748,,NOV 2022,,,,,,,,,,,WOS:000894820700004,View Full Record in Web of Science
J,"Coombs, AAT; Lawson, T; Daniel, R; Kim, C; Rashid, MM",,,,"Coombs, Alice A. Tolbert; Lawson, Tamara; Daniel, Ronsard; Kim, Christin; Rashid, Megan M.",,Virginia Commonwealth Univ Anesthe,Roadmap: one anesthesiology department's strategic approach to COVID-19,CURRENT OPINION IN ANESTHESIOLOGY,,,,,,,,,,,,"Purpose of review The COVID-19 pandemic has driven transformation in every aspect of the healthcare delivery system. The unpredictable onset and magnitude of COVID-19 infections resulted in wide gaps in preparedness for healthcare systems. The development of protocols to address both scarcity of resources and staff protection continues to be essential for risk mitigation. Recent findings The northeast region of the United States had a rapid early surge of COVID-19 infections leading to the exhaustion of critical care capacity. In addition, northeastern hospitals experienced decrease in elective surgical interventions, including organ transplantation. Limited availability of COVID-19 testing and personal protective equipment further fueled the pandemic. This commentary highlights a comprehensive innovative approach to addressing the operating room and hospital demands, as well as the shortages in resources and staffing during the pandemic. The VCU Department of Anesthesiology operated at 40% of its regular operating room volume throughout the COVID-19 pandemic because of the increased demand from emergency cases. The delay in the peak surge allowed Virginia Commonwealth University, Department of Anesthesiology to develop a comprehensive infrastructure resulting in resulting is maximal workforce risk mitigation.",,,,,,,,,,,,,,,,,,,0952-7907,1473-6500,,,,FEB,2021,34,1,,,,,54,61,,10.1097/ACO.0000000000000950,http://dx.doi.org/10.1097/ACO.0000000000000950,,,,,,,,33337671,,,,,WOS:000600755300010,View Full Record in Web of Science
J,"Higginson, S; Milovanovic, K; Gillespie, J; Matthews, A; Williams, C; Wall, L; Moy, N; Hinwood, M; Melia, A; Paolucci, F",,,,"Higginson, Shannen; Milovanovic, Katarina; Gillespie, James; Matthews, Andrew; Williams, Christopher; Wall, Laura; Moy, Naomi; Hinwood, Madeline; Melia, Adrian; Paolucci, Francesco",,,COVID-19: The need for an Australian economic pandemic response plan,HEALTH POLICY AND TECHNOLOGY,,,,,,,,,,,,"Objectives: Pandemics pressure national governments to respond swiftly. Mitigation efforts created an imbalance between population health, capacity of the healthcare system and economic prosperity. Each pandemic arising from a new virus is unknown territory for policy makers, and there is considerable uncertainty of the appropriateness of responses and outcomes. Methods: A qualitative approach was used to review mixed sources of data including Australian reports, official government publications, and COVID-19 data to discern robust future responses. Publicly available epidemiological and economic data were utilised to provide insight into the impact of the pandemic on Australia's healthcare system and economy. Results: Policies implemented by the Australian Government to mitigate the spread of COVID-19 impacted the healthcare sector and economy. This paper incorporates lessons learned to inform optimal economic preparedness. The rationale for an economic response plan concomitant with the health pandemic plan is explored to guide Australian Government policy makers in ensuring holistic and robust solutions for future pandemics. Conclusions: In future, an Australian Economic Pandemic Response Plan will aid in health and economic system preparedness, whilst a strong Australian economy and strategic planning will ensure resilience to future pandemics. Crown Copyright (c) 2020 Published by Elsevier Ltd on behalf of Fellowship of Postgraduate Medicine. All rights reserved.",,,,,"Williams, Chris/HNB-8399-2023; wall, laura/ABC-2122-2021; Gillespie, James/B-3610-2013; Williams, Christopher M/AAU-7946-2021","wall, laura/0000-0002-3070-387X; Gillespie, James/0000-0002-0355-4178; Williams, Christopher M/0000-0001-8896-0978; Paolucci, Francesco/0000-0001-6173-5324; Milovanovic, Katarina/0000-0001-7872-4576; Moy, Naomi/0000-0003-0413-9053; PAOLUCCI, FRANCESCO/0000-0002-6585-7190",,,,,,,,,,,,,2211-8837,,,,,DEC,2020,9,4,,,,,488,502,,10.1016/j.hlpt.2020.08.017,http://dx.doi.org/10.1016/j.hlpt.2020.08.017,,,,,,,,32874859,,,,,WOS:000593763800008,View Full Record in Web of Science
