Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Alsuhaibani, M; Alaqeel, A",,,,"Alsuhaibani, Mohammed; Alaqeel, Aqeel",,,Impact of the COVID-19 Pandemic on Routine Childhood Immunization in Saudi Arabia,VACCINES,,,,,,,,,,,,"The COVID-19 pandemic is impacting national and international public health. Routine childhood immunization may be adversely affected by COVID-19 mitigation measures. We aimed to identify the prevalence of delayed immunization and explore the reasons and barriers for delayed immunization during the COVID-19 pandemic in the Qassim region, Saudi Arabia. We conducted a cross-sectional study using an online self-administered questionnaire for parents of children under two years of age during the period from 1 May to 30 June 2020. Most of the 749 participants (82.6%) were mothers, with 31 to 40 years being the most common age group (49.8%). Nearly three-quarters (73.2%) of the parents had appointments scheduled for their child's vaccination during the pandemic, and approximately 23.4% of the parents reported a delay of more than one month in the immunization of their child. The most common reason for the delay was the fear of being infected by COVID-19 (60.9%). Large household size and lack of insurance were risk factors for immunization delay. The COVID-19 pandemic has affected the timeliness of routine childhood immunization in Saudi Arabia. Childhood immunization should be prioritized, as well as the implementation of focused strategies to achieve significant and sustainable vaccination rates during pandemics.",,,,,,", Aqeel/0000-0003-1681-5338; Alsuhaibani, Mohammed/0000-0003-3181-777X",,,,,,,,,,,,,,2076-393X,,,,DEC,2020,8,4,,,,,,,581,10.3390/vaccines8040581,http://dx.doi.org/10.3390/vaccines8040581,,,,,,,,33022916,,,,,WOS:000601791200001,View Full Record in Web of Science
J,"Chan, NN; Ong, KW; Siau, CS; Lee, KW; Peh, SC; Yacob, S; Chia, YC; Seow, VK; Ooi, PB",,,,"Chan, Nee Nee; Ong, Khang Wei; Siau, Ching Sin; Lee, Kai Wei; Peh, Suat Cheng; Yacob, Shakila; Chia, Yook Chin; Seow, Vei Ken; Ooi, Pei Boon",,,The lived experiences of a COVID-19 immunization programme: vaccine hesitancy and vaccine refusal,BMC PUBLIC HEALTH,,,,,,,,,,,,"Background The COVID-19 pandemic has resulted in a global health emergency and lock-down measures to curb the uncontrolled transmission chain. Vaccination is an effective measure against COVID-19 infections. In Malaysia amidst the national immunisation programme (NIP) which started in February 2021, there were rising concerns regarding the prevalence of vaccine hesitancy and refusal, and therefore, vaccine uptake among Malaysians. Although there are many quantitative studies on COVID-19 vaccination, the subjective experience of individuals was understudied. This study aims to explore the lived experiences of Malaysians regarding vaccine hesitancy and refusal, and facilitating factors that could enhance vaccine acceptance and uptake. Methods This qualitative study employed the hermeneutic phenomenological study design. Purposive sampling strategies were used to recruit Malaysians that had direct experiences with friends, family members and their community who were hesitating or refusing to accept the COVID-19 vaccines. A semi-structured interview guide was developed based on the expert knowledge of the investigators and existing literature on the topic. A series of focus group interviews (FGIs) was conducted online facilitated by a multidisciplinary team of experts. The group interviews were transcribed verbatim and analysed. Results Fifty-nine participants took part in seven FGIs. We found that incongruence was the overall thematic meaning that connected all the 3 main themes. These themes comprise firstly, the incongruence between the aims and implementation of the National Immunization Program which highlighted the gap between realities and needs on the ground. Secondly, the incongruence between Trust and Mistrust revealed a trust deficit in the government, COVID-19 news, and younger people's preference to follow the examples of local vaccination heroes. Thirdly, the incongruence in communication showed the populace's mixed views regarding official media and local social media. Conclusions This study provided rich details on the complex picture of the COVID-19 immunization program in Malaysia and its impact on vaccine hesitancy and refusal. The inter-related and incongruent factors explained the operational difficulty and complexity of the NIP and the design of an effective health communication campaign. Identified gaps such as logistical implementation and communication strategies should be noted by policymakers in implementing mitigation plans.",,,,,"Chan, Nn/AFM-2606-2022; Yacob, Shakila/B-9733-2010; Lee, Kai Wei/GXG-3329-2022; Chia, Yook-Chin/B-8379-2010","Yacob, Shakila/0000-0002-2998-0255; Lee, Kai Wei/0000-0001-9737-8066; Chia, Yook-Chin/0000-0003-1995-0359",,,,,,,,,,,,,,1471-2458,,,,FEB 14,2022,22,1,,,,,,,296,10.1186/s12889-022-12632-z,http://dx.doi.org/10.1186/s12889-022-12632-z,,,,,,,,35164734,,,,,WOS:000755134900015,View Full Record in Web of Science
J,"Toor, J; Li, X; Jit, M; Trotter, CL; Echeverria-Londono, S; Hartner, AM; Roth, J; Portnoy, A; Abbas, K; Ferguson, NM; Gaythorpe, KAM",,,,"Toor, Jaspreet; Li, Xiang; Jit, Mark; Trotter, Caroline L.; Echeverria-Londono, Susy; Hartner, Anna-Maria; Roth, Jeremy; Portnoy, Allison; Abbas, Kaja; Ferguson, Neil M.; Gaythorpe, Katy A. M.",,,COVID-19 impact on routine immunisations for vaccine-preventable diseases: Projecting the effect of different routes to recovery,VACCINE,,,,,,,,,,,,"Over the past two decades, vaccination programmes for vaccine-preventable diseases (VPDs) have expanded across low- and middle-income countries (LMICs). However, the rise of COVID-19 resulted in global disruption to routine immunisation activities. Such disruptions could have a detrimental effect on public health, leading to more deaths from VPDs, particularly without mitigation efforts. Hence, as routine immunisation activities resume, it is important to estimate the effectiveness of different approaches for recovery. We apply an impact extrapolation method developed by the Vaccine Impact Modelling Consortium to estimate the impact of COVID-19-related disruptions with different recovery scenarios for ten VPDs across 112 LMICs. We focus on deaths averted due to routine immunisations occurring in the years 2020-2030 and investigate two recovery scenarios relative to a no-COVID-19 scenario. In the recovery scenarios, we assume a 10% COVID-19-related drop in routine immunisation coverage in the year 2020. We then linearly interpolate coverage to the year 2030 to investigate two routes to recovery, whereby the immunization agenda (IA2030) targets are reached by 2030 or fall short by 10%. We estimate that falling short of the IA2030 targets by 10% leads to 11.26% fewer fully vaccinated persons (FVPs) and 11.34% more deaths over the years 2020-2030 relative to the no-COVID-19 scenario, whereas, reaching the IA2030 targets reduces these proportions to 5% fewer FVPs and 5.22% more deaths. The impact of the disruption varies across the VPDs with diseases where coverage expands drastically in future years facing a smaller detrimental effect. Overall, our results show that drops in routine immunisation coverage could result in more deaths due to VPDs. As the impact of COVID-19-related disruptions is dependent on the vaccination coverage that is achieved over the coming years, the continued efforts of building up coverage and addressing gaps in immunity are vital in the road to recovery. (C) 2022 The Authors. Published by Elsevier Ltd.",,,,,"Jit, Mark/HDM-7797-2022; Hartner, Anna-Maria/IQW-9590-2023; Trotter, Caroline L/H-5077-2013","Hartner, Anna-Maria/0000-0002-8502-9915; Abbas, Kaja/0000-0003-0563-1576; Toor, Jaspreet/0000-0003-1510-397X; Jit, Mark/0000-0001-6658-8255",,,,,,,,,,,,,0264-410X,1873-2518,,,,JUL 29,2022,40,31,,,,,4142,4149,,10.1016/j.vaccine.2022.05.074,http://dx.doi.org/10.1016/j.vaccine.2022.05.074,,JUN 2022,,,,,,35672179,,,,,WOS:000832911500010,View Full Record in Web of Science
J,"Karabay, A; Kuzdeuov, A; Ospanova, S; Lewis, M; Varol, HA",,,,"Karabay, Aknur; Kuzdeuov, Askat; Ospanova, Shyryn; Lewis, Michael; Varol, Huseyin Atakan",,,A Vaccination Simulator for COVID-19: Effective and Sterilizing Immunization Cases,IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,,,,,,,,,,,,"In this work, we present a particle-based SEIR epidemic simulator as a tool to assess the impact of different vaccination strategies on viral propagation and to model sterilizing and effective immunization outcomes. The simulator includes modules to support contact tracing of the interactions amongst individuals and epidemiological testing of the general population. The particles are distinguished by age to represent more accurately the infection and mortality rates. The tool can be calibrated by region of interest and for different vaccination strategies to enable locality-sensitive virus mitigation policy measures and resource allocation. Moreover, the vaccination policy can be simulated based on the prioritization of certain age groups or randomly vaccinating individuals across all age groups. The results based on the experience of the province of Lecco, Italy, indicate that the simulator can evaluate vaccination strategies in a way that incorporates local circumstances of viral propagation and demographic susceptibilities. Further, the simulator accounts for modeling the distinction between sterilizing immunization, where immunized people are no longer contagious, and effective immunization, where the individuals can transmit the virus even after getting immunized. The parametric simulation results showed that the sterilizing-age-based vaccination scenario results in the least number of deaths. Furthermore, it revealed that older people should be vaccinated first to decrease the overall mortality rate. Also, the results showed that as the vaccination rate increases, the mortality rate between the scenarios shrinks.",,,,,,"Kuzdeuov, Askat/0000-0001-6169-8252",,,,,,,,,,,,,2168-2194,2168-2208,,,,DEC,2021,25,12,,,,,4317,4327,,10.1109/JBHI.2021.3114180,http://dx.doi.org/10.1109/JBHI.2021.3114180,,,,,,,,34546932,,,,,WOS:000728140900013,View Full Record in Web of Science
J,"Reicherz, F; Golding, L; Lavoie, PM; Abu-Raya, B",,,,"Reicherz, Frederic; Golding, Liam; Lavoie, Pascal M.; Abu-Raya, Bahaa",,,Decay of anti-Bordetella pertussis antibodies in women of childbearing age following COVID-19 non-pharmaceutical measures,VACCINE,,,,,,,,,,,,"Background: Immunization against Bordetella pertussis during pregnancy reduces morbidity from severe pertussis in young infants via trans-placental transfer of anti-B. pertussis Immunoglobulin G (IgG). Studies have reported a near disappearance of respiratory pathogens including B. pertussis following implemen-tation of mitigation strategies to control Coronavirus disease 2019 (COVID-19). We explored how immu-nity against B. pertussis changed in women of childbearing-age through the COVID-19 pandemic.Methods: Paired blood samples from females of childbearing-age collected at the beginning (May-June 2020) and nearly one year into the COVID-19 pandemic (February-May 2021) in British Columbia (BC), Canada were tested for anti-B. pertussis IgG levels. To ascertain whether early-pandemic IgG levels in 2020 reflected levels in pregnant women early in gestation, 1st trimester sera collected from age-matched healthy pregnant women in 2018 and 2019 were tested for anti-B. pertussis IgG. Levels were compared by t tests. P-value of 0.05 was assigned and statistical significance was set as p < 0.016 using Bonferroni correction.Results: Annual provincial B. pertussis incidences per 100,000 in BC in 2020 (3/100,000) and 2021 (<1/100,000) approximated the lowest levels since 1990. In 2021 vs. 2020, anti-pertussis toxin (PT), fil-amentous hemagglutinin (FHA) and pertactin (PRN) IgG levels declined in women of childbearing-age: 6.8 IU/ml (95 %CI, 4.2-10.9) vs. 8.4 IU/ml (5.1-13.9; p = 0.004); 18.8 IU/ml (10.9-32.2) vs. 23.6 IU/ml (13.2-42.1; p < 0.001); and 37.1 IU/ml (18.1-75.9) vs. 47.2 IU/ml (24.8-89.9; p = 0.092), respectively. Although all values were slightly higher, anti-PT, FHA and PRN IgG levels in women of childbearing age did not significantly differ in 2020 compared with early-gestation pregnant women in 2018-2019, 8.4 IU/ml (95% CI, 5.1-13.9) vs. 5.4 IU/ml (95% CI, 3.8-7.7; p = 0.166), 23.6 IU/ml (95% CI, 13.2-42.1) vs. 20.1 IU/ml (95% CI, 13.4-30.2; p = 0.656), and 47.2 IU/ml (24.8-89.9) vs. 17.3 IU/ml (95% CI, 10.5- 28.7; p = 0.021), respectively.Discussion: B. pertussis infections should be closely monitored during the relaxing of mitigation measures for COVID-19. (c) 2022 Elsevier Ltd. All rights reserved.",,,,,,"Golding, Liam/0000-0002-8851-8052; Lavoie, Pascal/0000-0002-2205-0362",,,,,,,,,,,,,0264-410X,1873-2518,,,,JUN 15,2022,40,27,,,,,3746,3751,,10.1016/j.vaccine.2022.04.086,http://dx.doi.org/10.1016/j.vaccine.2022.04.086,,JUN 2022,,,,,,35599039,,,,,WOS:000812355100005,View Full Record in Web of Science
J,"Colome-Hidalgo, M; Campos, JD; de Miguel, AG",,,,"Colome-Hidalgo, Manuel; Donado Campos, Juan; Gil de Miguel, Angel",,,Tracking the impact of the COVID-19 pandemic on routine infant vaccinations in the Dominican Republic,HUMAN VACCINES & IMMUNOTHERAPEUTICS,,,,,,,,,,,,"As the COVID-19 pandemic progresses, millions of infants are unprotected against immune-preventable diseases due to interruptions in vaccination services. The direct effects of the pandemic, as well as the non-pharmacological interventions for its containment, mitigation and suppression adopted by many countries, have affected their vaccination programs. We conducted an ecological study analyzing the performance of the vaccination program in the Dominican Republic before (2019) and during the COVID-19 pandemic (2020). We compared annual public coverage data, analyzed trends and changes in coverage, dropout rate, and number of partially and unvaccinated infants by geographic area and COVID-19 incidence rate. Compared to baseline, coverage for all vaccines decreased by 10.4 (SD, 3.6) percent; among these, coverage for the third dose of the pentavalent vaccine decreased from 90.1% in 2019 to 81.1% in 2020. The number of partially vaccinated (n = 34,185) and unvaccinated (n = 5,593) infants increased 66% and 376%, respectively. The slight increase in the annual dropout rate (1.1%) was directly proportional to the number of COVID-19 cases per month. We found a significant association between the annual absolute change of Penta3 and the subnational Human Development Index. The pandemic significantly weakened the performance of the routine vaccination program. Interventions are needed to recover and maintain lost vaccination coverage, reducing the risk of outbreaks of preventable diseases, especially in those provinces with less human development.",,,,,"Colome-Hidalgo, Manuel/C-5520-2018","Colome-Hidalgo, Manuel/0000-0002-4562-6491; Donado Campos, Juan De Mata/0000-0002-8230-6286; GIL DE MIGUEL, ANGEL/0000-0003-1295-7101",,,,,,,,,,,,,2164-5515,2164-554X,,,,DEC 31,2022,18,1,,,,,,,,10.1080/21645515.2021.1972708,http://dx.doi.org/10.1080/21645515.2021.1972708,,SEP 2021,,,,,,34644243,,,,,WOS:000707120100001,View Full Record in Web of Science
J,"Singh, R; Kang, A; Luo, XQ; Jeyanathan, M; Gillgrass, A; Afkhami, S; Xing, Z",,,,"Singh, Ramandeep; Kang, Alisha; Luo, Xiangqian; Jeyanathan, Mangalakumari; Gillgrass, Amy; Afkhami, Sam; Xing, Zhou",,,"COVID-19: Current knowledge in clinical features, immunological responses, and vaccine development",FASEB JOURNAL,,,,,,,,,,,,"The COVID-19 pandemic has unfolded to be the most challenging global health crisis in a century. In 11 months since its first emergence, according to WHO, the causative infectious agent SARS-CoV-2 has infected more than 100 million people and claimed more than 2.15 million lives worldwide. Moreover, the world has raced to understand the virus and natural immunity and to develop vaccines. Thus, within a short 11 months a number of highly promising COVID-19 vaccines were developed at an unprecedented speed and are now being deployed via emergency use authorization for immunization. Although a considerable number of review contributions are being published, all of them attempt to capture only a specific aspect of COVID-19 or its therapeutic approaches based on ever-expanding information. Here, we provide a comprehensive overview to conceptually thread together the latest information on global epidemiology and mitigation strategies, clinical features, viral pathogenesis and immune responses, and the current state of vaccine development.",,,,,,"Singh, Ramandeep/0000-0001-5775-7993; Gillgrass, Amy/0000-0002-6257-4013",,,,,,,,,,,,,0892-6638,1530-6860,,,,MAR,2021,35,3,,,,,,,e21409,10.1096/fj.202002662R,http://dx.doi.org/10.1096/fj.202002662R,,,,,,,,33577115,,,,,WOS:000629576700032,View Full Record in Web of Science
J,"Leos-Toro, C; Ribeaud, D; Bechtiger, L; Steinhoff, A; Nivette, A; Murray, AL; Hepp, U; Quednow, BB; Eisner, MP; Shanahan, L",,,,"Leos-Toro, Cesar; Ribeaud, Denis; Bechtiger, Laura; Steinhoff, Annekatrin; Nivette, Amy; Murray, Aja L.; Hepp, Urs; Quednow, Boris B.; Eisner, Manuel P.; Shanahan, Lilly",,,"Attitudes Toward COVID-19 Vaccination Among Young Adults in Zurich, Switzerland, September 2020",INTERNATIONAL JOURNAL OF PUBLIC HEALTH,,,,,,,,,,,,"Objectives: Young adults are essential to the effective mitigation of the novel coronavirus (SARS-CoV-2/COVID-19) given their tendency toward greater frequency of social interactions. Little is known about vaccine willingness during pandemics in European populations. This study examined young people's attitudes toward COVID-19 vaccines in Fall 2020. Methods: Data came from an ongoing longitudinal study's online COVID-19-focused supplement among young adults aged 22 in Zurich, Switzerland (N = 499) in September 2020. Logistic regressions examined young adults' likelihood of participating in COVID-19 immunization programs. Results: Approximately half of respondents reported being unlikely to get vaccinated against COVID-19. Compared to males, females were more likely to oppose COVID-19 vaccination (p < 0.05). In multivariate models, Sri Lankan maternal background and higher socioeconomic status were associated with a greater likelihood of getting vaccinated against COVID-19 (p < 0.05). Respondents were more likely to report a willingness to get vaccinated against COVID-19 when they perceived 1) an effective government response (p < 0.05) and 2) their information sources to be objective (p < 0.05). Conclusion: This study communicates aspects important to the development of targeted information campaigns to promote engagement in COVID-19 immunization efforts.",,,,,"Shanahan, Lilly/HNJ-6173-2023; Quednow, Boris B./A-1666-2008","Shanahan, Lilly/0000-0002-4534-6924; Quednow, Boris B./0000-0001-7933-2865; Bechtiger, Laura/0000-0002-7049-2165; Steinhoff, Annekatrin/0000-0002-6260-4139; Leos-Toro, Cesar/0000-0001-9987-6587",,,,,,,,,,,,,1661-8556,1661-8564,,,,MAY 6,2021,66,,,,,,,,643486,10.3389/ijph.2021.643486,http://dx.doi.org/10.3389/ijph.2021.643486,,,,,,,,34744592,,,,,WOS:000652232800001,View Full Record in Web of Science
J,"Mose, A",,,,"Mose, Ayenew",,,Willingness to Receive COVID-19 Vaccine and Its Determinant Factors Among Lactating Mothers in Ethiopia: A Cross-Sectional Study,INFECTION AND DRUG RESISTANCE,,,,,,,,,,,,"Background: The World Health Organization, the United States Society for Maternal-Fetal Medicine, the American College of Obstetricians and Gynaecologists, the Academy of Breastfeeding Medicine, the Food and Drugs Administration, and the Centers for Disease Control recommend COVID-19 vaccination to lactating mothers without discontinuity of breastfeeding. Despite this recommendation, willingness to receive COVID-19 vaccine and its determinant factors among lactating mothers were not studied in Ethiopia. Hence, this study aimed to assess willingness to receive COVID-19 vaccine and its determinant factors among lactating mothers in Ethiopia. Methods: An institutional-based cross-sectional study design was employed in southern Ethiopia from February 1 up to March 15, 2021. Multistage sampling technique was used to select study participants. Structured and face-to-face interviewer-administered questionnaire was used to collect data. Data were clean, coded, and entered into Epi-Data version 4.2.0 and exported to SPSS version 23 software package for analysis. Bivariable and multivariable analysis were used to identify associated factors. Adjusted odds ratio along with 95% CI was used to measure the strength of association. Results: The prevalence of willingness to receive COVID-19 vaccination was found to be 61% (95% CI; 56.9-65.1%). Urban residence [AOR=2.5, (95% CI; 1.62-3.91)], having secondary and above maternal educational status [AOR=2.8, (95% CI; 1.51-4.21)] mothers who had got immunization counselling [AOR=3.4, (95% CI; 1.95-5.91)], good knowledge about vaccine [AOR=2.6, (95% CI; 1.84-3.47)], and good adherence to COVID-19 mitigation measures [AOR=3.2, (95% CI; 1.91-5.63)] were determinant factors of willingness to receive COVID-19 vaccine. Conclusion: Urban residence, secondary and above maternal education status, immunization counselling, good knowledge about the vaccine, and good adherence to COVID-19 mitigation measures were determinant factors of willingness to receive COVID-19 vaccine. Therefore, health professionals should counsel about the merits of COVID-19 vaccination, and enhance maternal awareness about the vaccine is recommended.",,,,,"Mose, Ayenew/AAZ-6731-2021","Abawa, Ayenew Mose/0000-0003-4353-7791",,,,,,,,,,,,,1178-6973,,,,,,2021,14,,,,,,4249,4259,,10.2147/IDR.S336486,http://dx.doi.org/10.2147/IDR.S336486,,,,,,,,34703251,,,,,WOS:000708533000004,View Full Record in Web of Science
J,"Shaikh, N; Pelzer, PT; Thysen, SM; Roy, P; Harris, RC; White, RG",,,,"Shaikh, Nabila; Pelzer, Puck T.; Thysen, Sanne M.; Roy, Partho; Harris, Rebecca C.; White, Richard G.",,,Impact of COVID-19 Disruptions on Global BCG Coverage and Paediatric TB Mortality: A Modelling Study,VACCINES,,,,,,,,,,,,"The impact of COVID-19 disruptions on global Bacillus Calmette-Guerin (BCG) coverage and paediatric tuberculosis (TB) mortality is still unknown. To fill this evidence-gap and guide mitigation measures, we estimated the impact of COVID-19 disruptions on global BCG coverage and paediatric TB mortality. First, we used data from multiple sources to estimate COVID-19-disrupted BCG vaccination coverage. Second, using a static mathematical model, we estimated the number of additional paediatric TB deaths in the first 15 years of life due to delayed/missed vaccinations in 14 scenarios-varying in duration of disruption, and magnitude and timing of catch-up. We estimated a 25% reduction in global BCG coverage within the disruption period. The best-case scenario (3-month disruption, 100% catch-up within 3 months) resulted in an additional 886 (0.5%) paediatric TB deaths, and the worst-case scenario (6-month disruption with no catch-up) resulted in an additional 33,074 (17%) deaths. The magnitude of catch-up was found to be the most influential variable in minimising excess paediatric TB mortality. Our results show that ensuring catch-up vaccination of missed children is a critical priority, and delivery of BCG alongside other routine vaccines may be a feasible way to achieve catch-up. Urgent action is required to support countries with recovering vaccination coverages to minimise paediatric deaths.",,,,,"White, Richard G/D-5407-2009","White, Richard G/0000-0003-4410-6635",,,,,,,,,,,,,,2076-393X,,,,NOV,2021,9,11,,,,,,,1228,10.3390/vaccines9111228,http://dx.doi.org/10.3390/vaccines9111228,,,,,,,,34835161,,,,,WOS:000727543400001,View Full Record in Web of Science
