"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"1","covid_miti","=~","covid","",1,0,NA,NA,1,1
"2","covid_miti","=~","pandemic","",0.334030259305456,0.713282857742813,0.468299855631602,0.639570171660323,-1.06397845266026,1.73203897127118
"3","hc","=~","health","",1,0,NA,NA,1,1
"4","hc","=~","care","",1.67981567563615,2.56245336850874,0.655549754106841,0.512113863695665,-3.34250063870432,6.70213198997663
"5","hc","=~","capacity","",1.58319844682308e-05,0.174081926798744,9.09455953261254e-05,0.999927435913716,-0.341178474900408,0.341210138869345
"6","hc","=~","healthcare","",2.27270583583799,3.44193442157632,0.660298993958503,0.50906197559832,-4.47336166760031,9.01877333927628
"7","status","=~","patients","",1,0,NA,NA,1,1
"8","status","=~","results","",-0.0995830572407602,0.165319570453919,-0.602367021444191,0.546929857072562,-0.423603461270074,0.224437346788553
"9","covid_miti","~","hc","c",2.23628509986989,4.56675200928164,0.489688315749307,0.624354471161435,-6.71438436464805,11.1869545643878
"10","status","~","hc","a",2.94330987062923,4.49141460972445,0.655319120229208,0.512262312924027,-5.8597010040677,11.7463207453262
"11","covid","~","status","b",-0.324752172145034,0.76655607213874,-0.423650902978245,0.671820426231621,-1.82717446566745,1.17767012137738
"12","covid","~~","covid","",28.0783879909805,20.7649346312241,1.35220208922591,0.176310675546413,-12.6201360275471,68.7769120095082
"13","pandemic","~~","pandemic","",10.0214165486132,4.85361061516577,2.06473434793057,0.0389481427499512,0.508514547906998,19.5343185493194
"14","health","~~","health","",14.9399185592039,6.68235629144094,2.235726128273,0.0253697164302997,1.84274089611507,28.0370962222928
"15","care","~~","care","",1.17740416438038,0.617216934294531,1.90760184784323,0.0564426961397455,-0.0323187974851251,2.38712712624589
"16","capacity","~~","capacity","",0.199999999695094,0.089442718963646,2.23606797749948,0.0253473186774889,0.0246954918470101,0.375304507543178
"17","healthcare","~~","healthcare","",0.000571158380418385,0.58944003813758,0.000968984703216025,0.999226862186637,-1.15471008741515,1.15585240417599
"18","patients","~~","patients","",10.9562990019726,14.8674091645539,0.736933979599758,0.461162498957176,-18.1832875039738,40.095885507919
"19","results","~~","results","",1.50493911150263,0.68727357522742,2.1897235187671,0.0285442943452676,0.157907656530812,2.85197056647446
"20","covid_miti","~~","covid_miti","",2.24303852434948,16.6899342659682,0.134394688954717,0.893090481136946,-30.4686315412892,34.9547085899881
"21","hc","~~","hc","",0.66007812070242,2.01131754482472,0.328181953367261,0.742774092024553,-3.28203182862755,4.60218807003239
"22","status","~~","status","",-7.22460016621437,14.4287027380457,-0.500710306212387,0.616575017920598,-35.5043378764184,21.0551375439896
"23","ab",":=","a*b","ab",-0.955846273782764,2.62565943790659,-0.364040461601087,0.715827795341767,-6.10204420774736,4.19035166018183
"24","total",":=","c+(a*b)","total",1.28043882608713,2.86188361164009,0.447411215773843,0.654578179219843,-4.32874998067286,6.88962763284712
