"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"1","covid_miti","=~","covid","",1,0,NA,NA,1,1
"2","covid_miti","=~","disease","",-3.21544300396654,3.44740330773943,-0.932714485928544,0.350967403534915,-9.97222932732007,3.54134331938699
"3","immunity_","=~","vaccination","",1,0,NA,NA,1,1
"4","immunity_","=~","vaccine","",1.77590445692381,0.91785826637627,1.93483517224846,0.0530105254799247,-0.0230646880860554,3.57487360193367
"5","immunity_","=~","vaccines","",0.932354539126491,0.693390020876229,1.34463218543048,0.178744044192739,-0.426664929030394,2.29137400728338
"6","immunity_","=~","immunity","",0.12480476263508,0.596828172695423,0.20911339032712,0.834359721814886,-1.0449569608068,1.29456648607696
"7","hc","=~","health","",1,0,NA,NA,1,1
"8","covid_miti","~","hc","c",0.0297269556278178,0.0710098605994737,0.418631375654863,0.675485555569418,-0.109449813694361,0.168903724949996
"9","immunity_","~","hc","a",0.30081153533931,0.212698451671992,1.41426292939452,0.157284717085035,-0.116069769505228,0.717692840183848
"10","covid_miti","~","immunity_","b",-0.565721283149122,0.676643946547646,-0.836069377455498,0.40311587449904,-1.89191904873955,0.760476482441309
"11","covid","~~","covid","",0.815629743503435,0.366806680953651,2.2235956591164,0.0261756608842632,0.0967018595456043,1.53455762746127
"12","disease","~~","disease","",0.027689994008469,0.400190277074287,0.0691920708591553,0.944836734520461,-0.756668536020238,0.812048524037176
"13","vaccination","~~","vaccination","",0.634527761325948,0.289272858975072,2.19352677459667,0.0282694476902863,0.0675633760298721,1.20149214662202
"14","vaccine","~~","vaccine","",0.062743549120621,0.137075342632498,0.45773038327424,0.647146156614112,-0.205919185607562,0.331406283848804
"15","vaccines","~~","vaccines","",0.669228604355488,0.304027704273827,2.20120928108821,0.0277212115668772,0.0733452536763939,1.26511195503458
"16","immunity","~~","immunity","",0.895864349289226,0.400724109237946,2.23561380170732,0.025377079735786,0.110459527445957,1.68126917113249
"17","health","~~","health","",0,0,NA,NA,0,0
"18","covid_miti","~~","covid_miti","",0.00771880044505393,0.0386785792397682,0.199562667418706,0.84182262749098,-0.0680898218380704,0.0835274227281782
"19","immunity_","~~","immunity_","",0.184033637211961,0.202765102564146,0.907619875830166,0.364079089492404,-0.213378661135335,0.581445935559258
"20","hc","~~","hc","",0.9,0.402492235949962,2.23606797749979,0.0253473186774682,0.111129713481077,1.68887028651892
"21","ab",":=","a*b","ab",-0.170175487758212,0.206141672689639,-0.825526859939783,0.40907253987509,-0.574205741942748,0.233854766426324
"22","total",":=","c+(a*b)","total",-0.140448532130394,0.173852750369129,-0.80785913269816,0.419171679621544,-0.481193661467119,0.200296597206331
