"","x"
"npar",5
"fmin",2.22044604925031e-16
"chisq",4.44089209850063e-15
"df",0
"pvalue",NA
"baseline.chisq",0.491392110810023
"baseline.df",3
"baseline.pvalue",0.920778416662357
"cfi",1
"tli",1
"nnfi",1
"rfi",1
"nfi",1
"pnfi",0
"ifi",0.999999999999991
"rni",1
"logl",-29.50350183237
"unrestricted.logl",-29.50350183237
"aic",69.00700366474
"bic",70.5199291297102
"ntotal",10
"bic2",55.5412677619403
"rmsea",0
"rmsea.ci.lower",0
"rmsea.ci.upper",0
"rmsea.pvalue",NA
"rmr",6.68643061803369e-09
"rmr_nomean",6.68643061803369e-09
"srmr",5.5134174498307e-09
"srmr_bentler",5.5134174498307e-09
"srmr_bentler_nomean",5.5134174498307e-09
"crmr",5.72039547475757e-09
"crmr_nomean",5.72039547475757e-09
"srmr_mplus",5.57042646338002e-09
"srmr_mplus_nomean",5.57042646338002e-09
"cn_05",1
"cn_01",1
"gfi",1
"agfi",1
"pgfi",0
"mfi",1
"ecvi",1
