"","x"
"npar",19
"fmin",0.724178726441725
"chisq",14.4835745288345
"df",17
"pvalue",0.632624911614761
"baseline.chisq",36.5309811983223
"baseline.df",28
"baseline.pvalue",0.129569221343684
"cfi",1
"tli",1.48584103981525
"nnfi",1.48584103981525
"rfi",0.346984437826755
"nfi",0.603526265823387
"pnfi",0.366426661392771
"ifi",1.12884275734092
"rni",1.29497491703069
"logl",-162.064512834663
"unrestricted.logl",-154.822725570246
"aic",362.129025669326
"bic",367.878142436213
"ntotal",10
"bic2",310.959229238687
"rmsea",0
"rmsea.ci.lower",0
"rmsea.ci.upper",0.243340569824589
"rmsea.ci.level",0.9
"rmsea.pvalue",0.657933506793497
"rmsea.close.h0",0.05
"rmsea.notclose.pvalue",0.305184831471189
"rmsea.notclose.h0",0.08
"rmr",1.48918655380215
"rmr_nomean",1.48918655380215
"srmr",0.146601468639138
"srmr_bentler",0.146601468639138
"srmr_bentler_nomean",0.146601468639138
"crmr",0.166190085488364
"crmr_nomean",0.166190085488364
"srmr_mplus",0.146569725468423
"srmr_mplus_nomean",0.146569725468423
"cn_05",20.0471706990244
"cn_01",24.0665872837491
"gfi",0.776333701796921
"agfi",0.526353721452304
"pgfi",0.366602025848546
"mfi",1.13407946018236
"ecvi",5.24835745288345
