"","x"
"npar",16
"fmin",0.349644255634601
"chisq",6.99288511269201
"df",12
"pvalue",0.8580833767955
"baseline.chisq",34.3348311338529
"baseline.df",21
"baseline.pvalue",0.0333571818442219
"cfi",1
"tli",1.65711001248031
"nnfi",1.65711001248031
"rfi",0.643582084341599
"nfi",0.796332619623771
"pnfi",0.455047211213583
"ifi",1.2241841389935
"rni",1.37549143570304
"logl",-81.9671062657227
"unrestricted.logl",-78.4706637093767
"aic",195.934212531445
"bic",200.77557401935
"ntotal",10
"bic2",152.843857642486
"rmsea",0
"rmsea.ci.lower",0
"rmsea.ci.upper",0.176079405958715
"rmsea.ci.level",0.9
"rmsea.pvalue",0.869195099737124
"rmsea.close.h0",0.05
"rmsea.notclose.pvalue",0.115069695060547
"rmsea.notclose.h0",0.08
"rmr",0.0925495602971034
"rmr_nomean",0.0925495602971034
"srmr",0.102832844774559
"srmr_bentler",0.102832844774559
"srmr_bentler_nomean",0.102832844774559
"crmr",0.118741142955313
"crmr_nomean",0.118741142955313
"srmr_mplus",0.102832846273818
"srmr_mplus_nomean",0.102832846273818
"cn_05",31.0678038872982
"cn_01",38.4909166717931
"gfi",0.865720016768944
"agfi",0.686680039127535
"pgfi",0.371022864329547
"mfi",1.2844822827537
"ecvi",3.8992885112692
